speaker_reference,text,generated_wav,language,Speaker Name,Model Name
/raid/edresson/dev/Paper/References_FT/ar_george_00000000.wav," For example, each year students from Bennet School in North Carolina design a website about their trip to the State Capital, each year the website gets remodeled, but old versions are kept online to serve as a scrapbook.",audios_demo/FT/XTTS_FT/Audios/ar_george_00000000.wav/ar_george_00000000.wav_en_63.wav,en,5 ar_male,2 XTTS Fine-tuning
/raid/edresson/dev/Paper/References_FT/en_miley_00000044_00000056.wav," This theory says that most dark matter around a galaxy is located around a galaxy in a kind of halo, and is made of lots of small particles.",audios_demo/FT/XTTS_FT/Audios/en_miley_00000044_00000056.wav/en_miley_00000044_00000056.wav_en_479.wav,en,1 en_female,2 XTTS Fine-tuning
/raid/edresson/dev/Paper/References_FT/en_robo_coqui_000254180_000259700.wav, The number of people present was so large that it was not possible for everybody to gain access to the funeral in St. Peter's Square.,audios_demo/FT/XTTS_FT/Audios/en_robo_coqui_000254180_000259700.wav/en_robo_coqui_000254180_000259700.wav_en_735.wav,en,2 en_robo_coqui,2 XTTS Fine-tuning
/raid/edresson/dev/Paper/References_FT/en_whisper_voice_00000015.wav, Dustin Goldust Runnels commented that Luna was as freaky as me...maybe even more...love her and will miss her...hopefully she's in a better place.,audios_demo/FT/XTTS_FT/Audios/en_whisper_voice_00000015.wav/en_whisper_voice_00000015.wav_en_1311.wav,en,0 en_whisper_female,2 XTTS Fine-tuning
/raid/edresson/dev/Paper/References_FT/fr_Jean_11_00000000.wav, Using ships to transport goods is by far the most efficient way to move large amounts of people and goods across oceans.,audios_demo/FT/XTTS_FT/Audios/fr_Jean_11_00000000.wav/fr_Jean_11_00000000.wav_en_1503.wav,en,7 fr_male2,2 XTTS Fine-tuning
/raid/edresson/dev/Paper/References_FT/fr_julian_00000010.wav, The war expenditures of U.S. imperialism in the conquest of the Philippines were paid for by the Filipino people themselves.,audios_demo/FT/XTTS_FT/Audios/fr_julian_00000010.wav/fr_julian_00000010.wav_en_2015.wav,en,8 fr_male3,2 XTTS Fine-tuning
/raid/edresson/dev/Paper/References_FT/fr_yan_lecun_00000080.wav," Rip currents are the returning flow from waves breaking off the beach, often at a reef or similar.",audios_demo/FT/XTTS_FT/Audios/fr_yan_lecun_00000080.wav/fr_yan_lecun_00000080.wav_en_2287.wav,en,3 fr_male1,2 XTTS Fine-tuning
/raid/edresson/dev/Paper/References_FT/pt_bolsonaro_00000172.wav," Swirl the two dry powders together and then, with clean wet hands, squeeze them into a ball.",audios_demo/FT/XTTS_FT/Audios/pt_bolsonaro_00000172.wav/pt_bolsonaro_00000172.wav_en_2687.wav,en,99 pt_male2,2 XTTS Fine-tuning
/raid/edresson/dev/Paper/References_FT/pt_dilma_00000003.wav, Hu encouraged developing countries to avoid the old path of polluting first and cleaning up later.,audios_demo/FT/XTTS_FT/Audios/pt_dilma_00000003.wav/pt_dilma_00000003.wav_en_3039.wav,en,9 pt_female,2 XTTS Fine-tuning
/raid/edresson/dev/Paper/References_FT/pt_lula_00000118.wav, Advisories are merely a brief summary of the political situation in one country.,audios_demo/FT/XTTS_FT/Audios/pt_lula_00000118.wav/pt_lula_00000118.wav_en_3471.wav,en,4 pt_male1,2 XTTS Fine-tuning
/raid/edresson/dev/Paper/References_FT/zh_jack_ma_00000000.wav, He was subsequently relocated to Addenbrooke's Hospital in Cambridge.,audios_demo/FT/XTTS_FT/Audios/zh_jack_ma_00000000.wav/zh_jack_ma_00000000.wav_en_3791.wav,en,6 zh_male,2 XTTS Fine-tuning
/raid/edresson/dev/Paper/References_FT/ar_george_00000000.wav," For example, each year students from Bennet School in North Carolina design a website about their trip to the State Capital, each year the website gets remodeled, but old versions are kept online to serve as a scrapbook.",audios_demo/FT/XTTS_no_FT/Audios/ar_george_00000000.wav/ar_george_00000000.wav_en_63.wav,en,5 ar_male,1 XTTS Zero-shot
/raid/edresson/dev/Paper/References_FT/en_miley_00000044_00000056.wav," This theory says that most dark matter around a galaxy is located around a galaxy in a kind of halo, and is made of lots of small particles.",audios_demo/FT/XTTS_no_FT/Audios/en_miley_00000044_00000056.wav/en_miley_00000044_00000056.wav_en_479.wav,en,1 en_female,1 XTTS Zero-shot
/raid/edresson/dev/Paper/References_FT/en_robo_coqui_000254180_000259700.wav, The number of people present was so large that it was not possible for everybody to gain access to the funeral in St. Peter's Square.,audios_demo/FT/XTTS_no_FT/Audios/en_robo_coqui_000254180_000259700.wav/en_robo_coqui_000254180_000259700.wav_en_735.wav,en,2 en_robo_coqui,1 XTTS Zero-shot
/raid/edresson/dev/Paper/References_FT/en_whisper_voice_00000015.wav, Dustin Goldust Runnels commented that Luna was as freaky as me...maybe even more...love her and will miss her...hopefully she's in a better place.,audios_demo/FT/XTTS_no_FT/Audios/en_whisper_voice_00000015.wav/en_whisper_voice_00000015.wav_en_1311.wav,en,0 en_whisper_female,1 XTTS Zero-shot
/raid/edresson/dev/Paper/References_FT/fr_Jean_11_00000000.wav, Using ships to transport goods is by far the most efficient way to move large amounts of people and goods across oceans.,audios_demo/FT/XTTS_no_FT/Audios/fr_Jean_11_00000000.wav/fr_Jean_11_00000000.wav_en_1503.wav,en,7 fr_male2,1 XTTS Zero-shot
/raid/edresson/dev/Paper/References_FT/fr_julian_00000010.wav, The war expenditures of U.S. imperialism in the conquest of the Philippines were paid for by the Filipino people themselves.,audios_demo/FT/XTTS_no_FT/Audios/fr_julian_00000010.wav/fr_julian_00000010.wav_en_2015.wav,en,8 fr_male3,1 XTTS Zero-shot
/raid/edresson/dev/Paper/References_FT/fr_yan_lecun_00000080.wav," Rip currents are the returning flow from waves breaking off the beach, often at a reef or similar.",audios_demo/FT/XTTS_no_FT/Audios/fr_yan_lecun_00000080.wav/fr_yan_lecun_00000080.wav_en_2287.wav,en,3 fr_male1,1 XTTS Zero-shot
/raid/edresson/dev/Paper/References_FT/pt_bolsonaro_00000172.wav," Swirl the two dry powders together and then, with clean wet hands, squeeze them into a ball.",audios_demo/FT/XTTS_no_FT/Audios/pt_bolsonaro_00000172.wav/pt_bolsonaro_00000172.wav_en_2687.wav,en,99 pt_male2,1 XTTS Zero-shot
/raid/edresson/dev/Paper/References_FT/pt_dilma_00000003.wav, Hu encouraged developing countries to avoid the old path of polluting first and cleaning up later.,audios_demo/FT/XTTS_no_FT/Audios/pt_dilma_00000003.wav/pt_dilma_00000003.wav_en_3039.wav,en,9 pt_female,1 XTTS Zero-shot
/raid/edresson/dev/Paper/References_FT/pt_lula_00000118.wav, Advisories are merely a brief summary of the political situation in one country.,audios_demo/FT/XTTS_no_FT/Audios/pt_lula_00000118.wav/pt_lula_00000118.wav_en_3471.wav,en,4 pt_male1,1 XTTS Zero-shot
